typepsc;stypepsc;nnn;lib_stype;surf;symb_surf;lin;symb_lin;pt;symb_pct;etiquette;classement
18;03;001;OAP relatives à la réhabilitation, la restructuration, la mise en valeur ou l’aménagement;S;PSC-S_18-03_001;;;;;18-03_001;sous-code
18;04;001;OAP d’adaptation des périmètres de transports collectifs;S;PSC-S_18-04_001;;;;;18-04_001;sous-code
18;05;001;OAP patrimoniales, architecturales et écologiques;S;PSC-S_18-05_001;;;;;18-05_001;sous-code
18;06;001;OAP relatives à l’habitat;S;PSC-S_18-06_001;;;;;18-06_001;sous-code
18;07;001;OAP comprenant des dispositions relatives à l'équipement commercial et artisanal;S;PSC-S_18-07_001;;;;;18-07_001;sous-code
18;08;001;OAP relatives aux transports et aux déplacements;S;PSC-S_18-08_001;;;;;18-08_001;sous-code
18;09;001;OAP relatives aux espaces publics en zone d’aménagement concerté;S;PSC-S_18-09_001;;;;;18-09_001;sous-code
18;10;001;OAP relatives aux ouvrages publics, installations d’intérêt général et espaces verts en zone d’aménagement concerté;S;PSC-S_18-10_001;;;;;18-10_001;sous-code
18;11;001;OAP valant création de zone d’aménagement concerté;S;PSC-S_18-11_001;;;;;18-11_001;sous-code
18;12;001;OAP secteurs de renaturation;S;PSC-S_18-12_001;;;;;18-12_001;sous-code
18;13;001;OAP relatives à la protection des franges urbaines et rurales;S;PSC-S_18-13_001;;;;;18-13_001;sous-code
18;14;001;OAP recul du trait de côte;S;PSC-S_18-14_001;;;;;18-14_001;sous-code
18;15;001;OAP trames vertes et bleues;S;PSC-S_18-15_001;;;;;18-15_001;sous-code
18;16;001;OAP zone d’accélération de la production d’énergies renouvelables;S;PSC-S_18-16_001;;;;;18-16_001;sous-code
19;00;001;Secteur protégé en raison de la richesse du sol et du sous-sol;S;PSC-S_19-00_001;;;;;19-00_001;symbole
20;00;001;Secteur à transfert de constructibilité en zone N;S;PSC-S_20-00_001;;;;;20-00_001;symbole
22;00;001;Diversité commerciale à protéger ou à développer;S;PSC-S_22-00_001;L;PSC-L_22-00_001;P;PSC-P_22-00_001;22-00 à 04_001;symbole
22;01;001;Diversité commerciale à protéger;S;PSC-S_22-01_001;L;PSC-L_22-01_001;P;PSC-P_22-01_001;22-01_001;sous-code
22;02;001;Diversité commerciale à développer;S;PSC-S_22-02_001;L;PSC-L_22-02_001;P;PSC-P_22-02_001;22-02_001;sous-code
22;03;001;Linéaire commercial protégé;S;PSC-S_22-03_001;L;PSC-L_22-03_001;P;PSC-P_22-03_001;22-03_001;sous-code
22;04;001;Linéaire commercial protégé renforcé;S;PSC-S_22-04_001;L;PSC-L_22-04_001;P;PSC-P_22-04_001;22-04_001;sous-code
23;00;001;Secteur avec taille minimale des logements en zone U et AU;S;PSC-S_23-00_001;;;;;23-00_001;symbole
24;00;001;Voies, chemins, transport public à conserver et à créer;S;PSC-S_24-00_001;L;PSC-L_24-00_001;;;24-00 à 04_001;symbole
24;01;001;Voies de circulation à créer, modifier ou conserver;S;PSC-S_24-01_001;L;PSC-L_24-01_001;;;24-01_001;sous-code
24;02;001;Voies de circulation à modifier;S;PSC-S_24-02_001;L;PSC-L_24-02_001;;;24-02_001;sous-code
