typesup;lib_sup;symb_sup;d_symb_sup;etiquette;classement;application
PM1;PM1 - Plans de prévention des risques naturels prévisibles (PPRNP) et plans de prévention de risques miniers (PPRM);PM1|gen_pprn_av|ass;;;sous-code;
PM1;PM1 - Plans de prévention des risques naturels prévisibles (PPRNP) et plans de prévention de risques miniers (PPRM);PM1|gen_pprn_ev|ass;;;sous-code;
PM1;PM1 - Plans de prévention des risques naturels prévisibles (PPRNP) et plans de prévention de risques miniers (PPRM);PM1|gen_pprn_if|ass;;;sous-code;
PM1;PM1 - Plans de prévention des risques naturels prévisibles (PPRNP) et plans de prévention de risques miniers (PPRM);PM1|gen_pprn_cy|ass;;;sous-code;
PM1;PM1 - Plans de prévention des risques naturels prévisibles (PPRNP) et plans de prévention de risques miniers (PPRM);PM1|gen_pprn_rad|ass;;;sous-code;
PM1;PM1 - Plans de prévention des risques naturels prévisibles (PPRNP) et plans de prévention de risques miniers (PPRM);PM1|gen_pprm|ass;;;sous-code;
PM1bis;PM1bis - Servitudes d'inondation pour la rétention des crues du Rhin;PM1bis|gen|ass;Symbole de remplissage simple : motif de lignes\nAngle : 45°  Epaisseur : 1  Intervalle : 8\nCouleur fond : aucune\nContour : ligne continue, épaisseur 1,5\nCouleur contour : #a81616;PM1bis|gen|ass;symbole;
PM2;PM2 - Servitudes autour des installations classées pour la protection de l’environnement et sur des sites pollués de stockage de déchets ou d’anciennes carrières;PM2|gen_icpe|ass;Symbole de remplissage simple : motif de lignes\nAngle : 135°  Epaisseur : 1  Intervalle : 8\nCouleur fond : aucune\nContour : ligne continue, épaisseur 1,5\nCouleur contour : #a81616;PM2|gen_x|ass;symbole;Symboles concernés :\n\nPM2|gen_icpe|ass\nPM2|gen_horsicpe|ass
PM2;PM2 - Servitudes autour des installations classées pour la protection de l’environnement et sur des sites pollués de stockage de déchets ou d’anciennes carrières;PM2|gen_horsicpe|ass;;;sous-code;
PM3;PM3 - Plans de prévention des risques technologiques (PPRT);PM3|gen|ass;Symbole de remplissage simple : motif de lignes\nAngle : 90°  Epaisseur : 1  Intervalle : 8\nCouleur fond : aucune\nContour : ligne continue, épaisseur 1,5\nCouleur contour : #a81616;PM3|gen|ass;symbole;
PM4;PM4 - Servitudes relatives aux zones de rétention temporaire des eaux de crues ou de ruissellement de mobilité d'un cours d'eau et aux zones humides dites stratégiques pour la gestion de l’eau;PM4|gen|ass;Symbole de remplissage simple : chapeaux chinois\nCouleur fond : aucune\nContour : ligne continue, épaisseur 1,5\nCouleur contour : #a81616;PM4|gen|ass;symbole;
PM5;PM5 - Servitudes relatives aux ouvrages hydrauliques présentant un danger pour la sécurité publique;PM5|gen|ass;Symbole de remplissage simple : motif de lignes\nAngle : 0°  Epaisseur : 1  Intervalle : 8\nCouleur fond : aucune\nContour : ligne continue, épaisseur 1,5\nCouleur contour : #a81616;PM5|gen|ass;symbole;
PM6;PM6 - Servitudes relatives aux installations nucléaires de base;PM6|gen|ass;Symbole de remplissage simple : motif de points\nCouleur fond : aucune\nContour : ligne continue, épaisseur 1,5\nCouleur contour : #a81616;PM6|gen|ass;symbole;
PM7;PM7 - Servitudes relatives aux ouvrages ou infrastructures permettant de prévenir les inondations ou les submersions;PM7|gen|ass;Symbole de remplissage simple : chapeaux chinois\nCouleur fond : aucune\nContour : ligne continue, épaisseur 1,5\nCouleur contour : #a81616;PM7|gen|ass;symbole;
PM8;PM8 - Servitudes relatives à la création la continuitéla pérennité et l’entretien des équipements de défense des forêts contre les incendies;PM8|gen_pointeau|ass;Symbole de remplissage simple : motif de points\nCouleur fond : aucune\nContour : ligne continue, épaisseur 1,5\nCouleur contour : #a81616;PM8|gen_x|ass;symbole;Symboles concernés :\n\nPM8|gen_pointeau|ass\nPM8|gen_pistedfci|ass\nPM8|gen_coupurecombustible|ass
PM8;PM8 - Servitudes relatives à la création la continuitéla pérennité et l’entretien des équipements de défense des forêts contre les incendies;PM8|gen_pistedfci|ass;;;sous-code;
PM8;PM8 - Servitudes relatives à la création la continuitéla pérennité et l’entretien des équipements de défense des forêts contre les incendies;PM8|gen_coupurecombustible|ass;;;sous-code;
PM9;PM9 - Servitudes relatives aux zones de danger;PM9|gen|ass;;PM9|gen|ass;symbole;
PT1;PT1 - Servitudes de protection des centres radioélectriques d’émission et de réception contre les obstacles ou les perturbations électromagnétiques;PT1|gen_niveau_1|ass_garde;Remplissage simple : motif de lignes\nAngle : 45°\nEpaisseur : 1,8\nIntervalle : 8\nCouleur : #807dff\nBordure : ligne continue\nEpaisseur : 2\nCouleur : #807dff;PT1|gen_niveau_x|ass_garde;symbole;Symboles concernés :\n\nPT1|gen_niveau_1|ass_garde\nPT1|gen_niveau_2|ass_garde\nPT1|gen_niveau_3|ass_garde
PT1;PT1 - Servitudes de protection des centres radioélectriques d’émission et de réception contre les obstacles ou les perturbations électromagnétiques;PT1|gen_niveau_2|ass_garde;;;sous-code;
PT1;PT1 - Servitudes de protection des centres radioélectriques d’émission et de réception contre les obstacles ou les perturbations électromagnétiques;PT1|gen_niveau_3|ass_garde;;;sous-code;
PT1;PT1 - Servitudes de protection des centres radioélectriques d’émission et de réception contre les obstacles ou les perturbations électromagnétiques;PT1|gen_niveau_1|ass_protection;Remplissage simple : motif de lignes\nAngle : 45°\nEpaisseur : 1,8\nIntervalle : 16\nCouleur : #807dff\nBordure : ligne continue\nEpaisseur : 2\nCouleur : #807dff;PT1|gen_niveau_x|ass_protection;symbole;Symboles concernés :\n\nPT1|gen_niveau_1|ass_protection\nPT1|gen_niveau_2|ass_protection\nPT1|gen_niveau_3|ass_protection
PT1;PT1 - Servitudes de protection des centres radioélectriques d’émission et de réception contre les obstacles ou les perturbations électromagnétiques;PT1|gen_niveau_2|ass_protection;;;sous-code;
PT1;PT1 - Servitudes de protection des centres radioélectriques d’émission et de réception contre les obstacles ou les perturbations électromagnétiques;PT1|gen_niveau_3|ass_protection;;;sous-code;
PT2;PT2 - Servitudes de protection des centres radioélectriques d’émission et de réception contre les obstacles ou les perturbations électromagnétiques;PT2|gen|ass_primaire_sol§xx;Remplissage simple : motif de lignes\nAngle : 135°\nEpaisseur : 1,8\nIntervalle : 8\nCouleur : #807dff\nBordure : ligne continue\nEpaisseur : 2\nCouleur : #807dff;PT2|gen|ass_primaire;symbole;Symboles concernés :\n\nPT2|gen|ass_primaire_sol§xx\nPT2|gen|ass_primaire_ngf§xx\n\navec xx = valeur de la hauteur (sol) ou de l'altitude (ngf)
